x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-4.025000E+00,-2.404020E+00,-20.101E-03,-3.841080E+00,+311.834E-03
-4.020000E+00,-2.404020E+00,-40.201E-03,-7.459171E+00,+311.834E-03
-4.015000E+00,-2.404020E+00,-25.126E-03,-10.826005E+00,+311.834E-03
-4.010000E+00,-2.404020E+00,-20.101E-03,-7.157663E+00,+319.874E-03
-4.005000E+00,-2.434171E+00,-35.176E-03,-3.640075E+00,+319.874E-03
-4.000000E+00,-2.404020E+00,-20.101E-03,-21.985E-03,+311.834E-03
-3.995000E+00,-2.434171E+00,-25.126E-03,+3.646357E+00,+311.834E-03
-3.990000E+00,-2.404020E+00,-20.101E-03,+7.214196E+00,+319.874E-03
-3.985000E+00,-2.434171E+00,-20.101E-03,+9.475503E+00,+319.874E-03
-3.980000E+00,-2.404020E+00,-40.201E-03,+6.008166E+00,+311.834E-03
-3.975000E+00,-2.404020E+00,-35.176E-03,+2.339824E+00,+319.874E-03
-3.970000E+00,-2.404020E+00,-20.101E-03,-1.228015E+00,+319.874E-03
-3.965000E+00,-2.404020E+00,-20.101E-03,-4.795854E+00,+319.874E-03
-3.960000E+00,-2.444221E+00,-20.101E-03,-8.263191E+00,+311.834E-03
-3.955000E+00,-2.404020E+00,-20.101E-03,-9.871231E+00,+319.874E-03
-3.950000E+00,-2.404020E+00,-30.151E-03,-6.253141E+00,+327.915E-03
-3.945000E+00,-2.404020E+00,-20.101E-03,-2.685302E+00,+319.874E-03
-3.940000E+00,-2.404020E+00,-20.101E-03,+782.035E-03,+319.874E-03
-3.935000E+00,-2.404020E+00,-20.101E-03,+4.601131E+00,+319.874E-03
-3.930000E+00,-2.424121E+00,-30.151E-03,+8.219221E+00,+323.894E-03
-3.925000E+00,-2.404020E+00,-20.101E-03,+8.671482E+00,+319.874E-03
-3.920000E+00,-2.444221E+00,-20.101E-03,+5.003141E+00,+319.874E-03
-3.915000E+00,-2.404020E+00,-20.101E-03,+1.535804E+00,+319.874E-03
-3.910000E+00,-2.424121E+00,-20.101E-03,-2.032035E+00,+323.894E-03
