second,Volt1,Volt2
+556.950E-03,+287.092E-03,+756.534E-03
+558.600E-03,+287.092E-03,+756.283E-03
+560.250E-03,+287.092E-03,+756.283E-03
+561.900E-03,+282.067E-03,+756.032E-03
+563.550E-03,+279.380E-03,+755.897E-03
+565.200E-03,+277.041E-03,+755.780E-03
+566.850E-03,+272.016E-03,+755.780E-03
+568.500E-03,+266.991E-03,+755.780E-03
+570.150E-03,+261.966E-03,+755.556E-03
+571.800E-03,+256.941E-03,+755.529E-03
+573.450E-03,+251.916E-03,+755.529E-03
+575.100E-03,+249.833E-03,+755.529E-03
+576.750E-03,+241.866E-03,+755.529E-03
+578.400E-03,+236.365E-03,+755.278E-03
+580.050E-03,+231.815E-03,+755.278E-03
+581.700E-03,+222.898E-03,+755.027E-03
+583.350E-03,+221.765E-03,+755.027E-03
+585.000E-03,+216.740E-03,+754.775E-03
+586.650E-03,+216.740E-03,+754.524E-03
+588.300E-03,+211.715E-03,+754.273E-03
+589.950E-03,+211.715E-03,+754.022E-03
+591.600E-03,+211.715E-03,+754.022E-03
+593.250E-03,+211.715E-03,+753.857E-03
+594.900E-03,+211.715E-03,+753.770E-03
+596.550E-03,+211.715E-03,+753.519E-03
+598.200E-03,+206.690E-03,+753.268E-03
+599.850E-03,+206.690E-03,+753.017E-03
+601.500E-03,+206.690E-03,+752.765E-03
+603.150E-03,+206.690E-03,+752.765E-03
+604.800E-03,+206.690E-03,+752.514E-03
+606.450E-03,+201.665E-03,+752.263E-03
+608.100E-03,+201.665E-03,+752.263E-03
+609.750E-03,+196.639E-03,+752.263E-03
+611.400E-03,+196.639E-03,+752.012E-03
+613.050E-03,+191.614E-03,+752.012E-03
+614.700E-03,+186.589E-03,+752.012E-03
+616.350E-03,+181.564E-03,+752.012E-03
+618.000E-03,+176.539E-03,+751.760E-03
+619.650E-03,+171.514E-03,+751.760E-03
+621.300E-03,+166.489E-03,+751.760E-03
+622.950E-03,+157.571E-03,+751.760E-03
+624.600E-03,+151.413E-03,+751.760E-03
+626.250E-03,+146.388E-03,+751.760E-03
+627.900E-03,+144.908E-03,+751.760E-03
+629.550E-03,+141.363E-03,+751.760E-03
+631.200E-03,+136.338E-03,+751.760E-03
+632.850E-03,+132.245E-03,+751.760E-03
+634.500E-03,+131.313E-03,+751.760E-03
+636.150E-03,+131.313E-03,+751.760E-03
+637.800E-03,+131.313E-03,+751.760E-03
+639.450E-03,+131.313E-03,+751.760E-03
+641.100E-03,+131.240E-03,+751.760E-03
+642.750E-03,+126.288E-03,+751.760E-03
+644.400E-03,+126.288E-03,+751.760E-03
+646.050E-03,+126.288E-03,+751.760E-03
+647.700E-03,+126.288E-03,+751.760E-03
+649.350E-03,+125.210E-03,+751.760E-03
+651.000E-03,+121.263E-03,+751.760E-03
+652.650E-03,+121.263E-03,+751.760E-03
+654.300E-03,+116.237E-03,+751.760E-03
+655.950E-03,+111.212E-03,+751.760E-03
+657.600E-03,+111.212E-03,+751.760E-03
+659.250E-03,+104.908E-03,+751.760E-03
+660.900E-03,+100.687E-03,+751.760E-03
+662.550E-03,+91.112E-03,+751.760E-03
+664.200E-03,+86.087E-03,+751.760E-03
+665.850E-03,+81.062E-03,+751.760E-03
+667.500E-03,+76.036E-03,+751.760E-03
+669.150E-03,+71.011E-03,+751.760E-03
+670.800E-03,+65.310E-03,+751.760E-03
+672.450E-03,+60.961E-03,+751.760E-03
+674.100E-03,+60.961E-03,+751.760E-03
+675.750E-03,+55.936E-03,+751.760E-03
+677.400E-03,+50.911E-03,+751.760E-03
+679.050E-03,+50.911E-03,+751.760E-03
+680.700E-03,+50.911E-03,+751.760E-03
+682.350E-03,+50.911E-03,+751.760E-03
+684.000E-03,+50.911E-03,+751.760E-03
+685.650E-03,+45.886E-03,+751.760E-03
+687.300E-03,+45.886E-03,+751.760E-03
+688.950E-03,+45.886E-03,+751.760E-03
+690.600E-03,+45.886E-03,+751.760E-03
+692.250E-03,+45.886E-03,+751.760E-03
+693.900E-03,+41.390E-03,+751.760E-03
+695.550E-03,+40.861E-03,+751.760E-03
+697.200E-03,+37.973E-03,+751.760E-03
+698.850E-03,+35.835E-03,+751.760E-03
+700.500E-03,+34.556E-03,+751.760E-03
+702.150E-03,+25.785E-03,+751.760E-03
+703.800E-03,+21.089E-03,+751.760E-03
+705.450E-03,+16.868E-03,+751.760E-03
+707.100E-03,+10.710E-03,+751.760E-03
+708.750E-03,+5.685E-03,+751.760E-03
