second,Volt1,Volt2,Volt3
-38.94800E-03,+575.09227E-03,-736.07881E-03,+622.85256E-03
-38.89600E-03,+575.25910E-03,-738.18937E-03,+622.85256E-03
-38.84400E-03,+575.43599E-03,-738.59137E-03,+622.85256E-03
-38.79200E-03,+575.64704E-03,-739.84765E-03,+622.85256E-03
-38.74000E-03,+575.92242E-03,-738.59137E-03,+622.85256E-03
-38.68800E-03,+576.06513E-03,-739.84765E-03,+622.85256E-03
-38.63600E-03,+576.26413E-03,-739.84765E-03,+622.85256E-03
-38.58400E-03,+576.63800E-03,-740.75218E-03,+622.85256E-03
-38.53200E-03,+576.84503E-03,-742.36021E-03,+622.85256E-03
-38.48000E-03,+576.98775E-03,-742.36021E-03,+622.85256E-03
-38.42800E-03,+577.24302E-03,-743.61649E-03,+622.85256E-03
-38.37600E-03,+577.57066E-03,-743.61649E-03,+622.85256E-03
-38.32400E-03,+577.76764E-03,-744.87278E-03,+622.85256E-03
-38.27200E-03,+578.01086E-03,-746.12906E-03,+622.85256E-03
-38.22000E-03,+578.25408E-03,-746.63156E-03,+622.85256E-03
-38.16800E-03,+578.44704E-03,-746.68183E-03,+622.85256E-03
-38.11600E-03,+578.69026E-03,-747.73711E-03,+622.85256E-03
-38.06400E-03,+578.94554E-03,-748.79238E-03,+622.85256E-03
-38.01200E-03,+579.27719E-03,-749.89790E-03,+622.85256E-03
-37.96000E-03,+579.56061E-03,-749.89790E-03,+622.85256E-03
-37.90800E-03,+579.86413E-03,-751.60643E-03,+622.85256E-03
-37.85600E-03,+580.10734E-03,-753.66675E-03,+622.85256E-03
-37.80400E-03,+580.38272E-03,-752.41046E-03,+622.85256E-03
-37.75200E-03,+580.69428E-03,-753.66675E-03,+622.85256E-03
-37.70000E-03,+580.88724E-03,-753.66675E-03,+622.85256E-03
-37.64800E-03,+581.13046E-03,-754.92303E-03,+622.85256E-03
-37.59600E-03,+581.50835E-03,-754.92303E-03,+622.85256E-03
-37.54400E-03,+581.74151E-03,-756.17931E-03,+622.85256E-03
-37.49200E-03,+581.96061E-03,-756.17931E-03,+622.85256E-03
-37.44000E-03,+582.41488E-03,-757.43559E-03,+622.85256E-03
-37.38800E-03,+582.65006E-03,-757.48585E-03,+622.85256E-03
