second,Volt1,Volt2,Volt3
+2.543350E+00,+27.777E-03,-3.617933E+00,+1.074204E+00
+2.544800E+00,+27.821E-03,-3.617933E+00,+1.074204E+00
+2.546250E+00,+27.892E-03,-3.622958E+00,+1.074204E+00
+2.547700E+00,+27.871E-03,-3.622896E+00,+1.074204E+00
+2.549150E+00,+27.823E-03,-3.617933E+00,+1.074204E+00
+2.550600E+00,+27.817E-03,-3.614454E+00,+1.074204E+00
+2.552050E+00,+27.758E-03,-3.612908E+00,+1.074204E+00
+2.553500E+00,+27.750E-03,-3.612908E+00,+1.074204E+00
+2.554950E+00,+27.765E-03,-3.607883E+00,+1.074204E+00
+2.556400E+00,+27.733E-03,-3.607620E+00,+1.074204E+00
+2.557850E+00,+27.684E-03,-3.602858E+00,+1.074204E+00
+2.559300E+00,+27.648E-03,-3.599177E+00,+1.074204E+00
+2.560750E+00,+27.613E-03,-3.597833E+00,+1.074204E+00
+2.562200E+00,+27.575E-03,-3.595760E+00,+1.074204E+00
+2.563650E+00,+27.585E-03,-3.592808E+00,+1.074204E+00
+2.565100E+00,+27.558E-03,-3.592808E+00,+1.074204E+00
+2.566550E+00,+27.546E-03,-3.587783E+00,+1.074204E+00
+2.568000E+00,+27.510E-03,-3.587783E+00,+1.074204E+00
+2.569450E+00,+27.459E-03,-3.587783E+00,+1.074204E+00
+2.570900E+00,+27.432E-03,-3.582757E+00,+1.074204E+00
+2.572350E+00,+27.381E-03,-3.582757E+00,+1.074204E+00
+2.573800E+00,+27.383E-03,-3.582092E+00,+1.074204E+00
+2.575250E+00,+27.407E-03,-3.577732E+00,+1.074204E+00
+2.576700E+00,+27.369E-03,-3.573650E+00,+1.074204E+00
+2.578150E+00,+27.336E-03,-3.577732E+00,+1.074204E+00
+2.579600E+00,+27.287E-03,-3.572707E+00,+1.074204E+00
+2.581050E+00,+27.256E-03,-3.572707E+00,+1.074204E+00
+2.582500E+00,+27.218E-03,-3.567682E+00,+1.074204E+00
+2.583950E+00,+27.218E-03,-3.567620E+00,+1.074204E+00
+2.585400E+00,+27.180E-03,-3.562657E+00,+1.074204E+00
+2.586850E+00,+27.184E-03,-3.562657E+00,+1.074204E+00
+2.588300E+00,+27.142E-03,-3.557632E+00,+1.074204E+00
+2.589750E+00,+27.084E-03,-3.557632E+00,+1.074204E+00
+2.591200E+00,+27.052E-03,-3.552607E+00,+1.074204E+00
+2.592650E+00,+27.067E-03,-3.552607E+00,+1.074204E+00
+2.594100E+00,+26.992E-03,-3.552066E+00,+1.074204E+00
+2.595550E+00,+27.004E-03,-3.547582E+00,+1.074204E+00
+2.597000E+00,+27.006E-03,-3.542556E+00,+1.074204E+00
+2.598450E+00,+26.967E-03,-3.540484E+00,+1.074204E+00
+2.599900E+00,+26.938E-03,-3.537531E+00,+1.074204E+00
+2.601350E+00,+26.878E-03,-3.537067E+00,+1.074204E+00
+2.602800E+00,+26.877E-03,-3.532506E+00,+1.074204E+00
+2.604250E+00,+26.829E-03,-3.532506E+00,+1.074204E+00
+2.605700E+00,+26.833E-03,-3.527481E+00,+1.074204E+00
+2.607150E+00,+26.816E-03,-3.522456E+00,+1.074204E+00
+2.608600E+00,+26.741E-03,-3.517431E+00,+1.074204E+00
+2.610050E+00,+26.707E-03,-3.517431E+00,+1.074204E+00
+2.611500E+00,+26.678E-03,-3.517431E+00,+1.074204E+00
+2.612950E+00,+26.661E-03,-3.512406E+00,+1.074204E+00
+2.614400E+00,+26.641E-03,-3.512406E+00,+1.074204E+00
+2.615850E+00,+26.634E-03,-3.507381E+00,+1.074204E+00
+2.617300E+00,+26.590E-03,-3.507381E+00,+1.074204E+00
+2.618750E+00,+26.533E-03,-3.506514E+00,+1.074204E+00
+2.620200E+00,+26.502E-03,-3.502355E+00,+1.074204E+00
+2.621650E+00,+26.457E-03,-3.498072E+00,+1.074204E+00
+2.623100E+00,+26.405E-03,-3.497330E+00,+1.074204E+00
+2.624550E+00,+26.413E-03,-3.492305E+00,+1.074204E+00
+2.626000E+00,+26.408E-03,-3.492305E+00,+1.074204E+00
+2.627450E+00,+26.339E-03,-3.487280E+00,+1.074204E+00
+2.628900E+00,+26.299E-03,-3.487280E+00,+1.074204E+00
+2.630350E+00,+26.251E-03,-3.482796E+00,+1.074204E+00
+2.631800E+00,+26.229E-03,-3.482255E+00,+1.074204E+00
+2.633250E+00,+26.211E-03,-3.479379E+00,+1.074204E+00
+2.634700E+00,+26.218E-03,-3.477230E+00,+1.074204E+00
+2.636150E+00,+26.197E-03,-3.475961E+00,+1.074204E+00
+2.637600E+00,+26.125E-03,-3.472205E+00,+1.074204E+00
+2.639050E+00,+26.113E-03,-3.467180E+00,+1.074204E+00
+2.640500E+00,+26.037E-03,-3.467180E+00,+1.074204E+00
+2.641950E+00,+26.007E-03,-3.462154E+00,+1.074204E+00
+2.643400E+00,+25.962E-03,-3.457129E+00,+1.074204E+00
+2.644850E+00,+25.974E-03,-3.452104E+00,+1.074204E+00
+2.646300E+00,+25.949E-03,-3.452104E+00,+1.074204E+00
+2.647750E+00,+25.912E-03,-3.452104E+00,+1.074204E+00
+2.649200E+00,+25.866E-03,-3.447079E+00,+1.074204E+00
+2.650650E+00,+25.807E-03,-3.443801E+00,+1.074204E+00
+2.652100E+00,+25.761E-03,-3.442054E+00,+1.074204E+00
+2.653550E+00,+25.773E-03,-3.440384E+00,+1.074204E+00
+2.655000E+00,+25.752E-03,-3.437029E+00,+1.074204E+00
+2.656450E+00,+25.748E-03,-3.437029E+00,+1.074204E+00
+2.657900E+00,+25.725E-03,-3.432745E+00,+1.074204E+00
+2.659350E+00,+25.673E-03,-3.432004E+00,+1.074204E+00
+2.660800E+00,+25.615E-03,-3.429328E+00,+1.074204E+00
+2.662250E+00,+25.589E-03,-3.426979E+00,+1.074204E+00
+2.663700E+00,+25.582E-03,-3.426979E+00,+1.074204E+00
+2.665150E+00,+25.560E-03,-3.421953E+00,+1.074204E+00
+2.666600E+00,+25.547E-03,-3.421953E+00,+1.074204E+00
+2.668050E+00,+25.468E-03,-3.421953E+00,+1.074204E+00
+2.669500E+00,+25.396E-03,-3.416928E+00,+1.074204E+00
+2.670950E+00,+25.384E-03,-3.416928E+00,+1.074204E+00
+2.672400E+00,+25.362E-03,-3.416928E+00,+1.074204E+00
+2.673850E+00,+25.308E-03,-3.411903E+00,+1.074204E+00
+2.675300E+00,+25.331E-03,-3.411903E+00,+1.074204E+00
+2.676750E+00,+25.311E-03,-3.408022E+00,+1.074204E+00
+2.678200E+00,+25.253E-03,-3.406878E+00,+1.074204E+00
+2.679650E+00,+25.177E-03,-3.404605E+00,+1.074204E+00
+2.681100E+00,+25.122E-03,-3.401853E+00,+1.074204E+00
+2.682550E+00,+25.095E-03,-3.401853E+00,+1.074204E+00
+2.684000E+00,+25.070E-03,-3.396828E+00,+1.074204E+00
+2.685450E+00,+25.082E-03,-3.392745E+00,+1.074204E+00
+2.686900E+00,+25.062E-03,-3.391803E+00,+1.074204E+00
+2.688350E+00,+25.001E-03,-3.386778E+00,+1.074204E+00
+2.689800E+00,+24.944E-03,-3.383423E+00,+1.074204E+00
+2.691250E+00,+24.929E-03,-3.381752E+00,+1.074204E+00
+2.692700E+00,+24.881E-03,-3.376727E+00,+1.074204E+00
+2.694150E+00,+24.845E-03,-3.376727E+00,+1.074204E+00
+2.695600E+00,+24.873E-03,-3.371702E+00,+1.074204E+00
+2.697050E+00,+24.856E-03,-3.371702E+00,+1.074204E+00
+2.698500E+00,+24.776E-03,-3.366677E+00,+1.074204E+00
+2.699950E+00,+24.715E-03,-3.361652E+00,+1.074204E+00
+2.701400E+00,+24.680E-03,-3.361389E+00,+1.074204E+00
+2.702850E+00,+24.630E-03,-3.356627E+00,+1.074204E+00
+2.704300E+00,+24.630E-03,-3.352946E+00,+1.074204E+00
+2.705750E+00,+24.617E-03,-3.351602E+00,+1.074204E+00
+2.707200E+00,+24.582E-03,-3.349529E+00,+1.074204E+00
+2.708650E+00,+24.501E-03,-3.346577E+00,+1.074204E+00
+2.710100E+00,+24.476E-03,-3.346577E+00,+1.074204E+00
+2.711550E+00,+24.429E-03,-3.346577E+00,+1.074204E+00
+2.713000E+00,+24.410E-03,-3.341551E+00,+1.074204E+00
+2.714450E+00,+24.409E-03,-3.341551E+00,+1.074204E+00
+2.715900E+00,+24.404E-03,-3.341551E+00,+1.074204E+00
+2.717350E+00,+24.357E-03,-3.336526E+00,+1.074204E+00
+2.718800E+00,+24.275E-03,-3.336526E+00,+1.074204E+00
+2.720250E+00,+24.228E-03,-3.331501E+00,+1.074204E+00
+2.721700E+00,+24.195E-03,-3.331501E+00,+1.074204E+00
+2.723150E+00,+24.128E-03,-3.328223E+00,+1.074204E+00
+2.724600E+00,+24.146E-03,-3.326476E+00,+1.074204E+00
+2.726050E+00,+24.102E-03,-3.324806E+00,+1.074204E+00
+2.727500E+00,+24.071E-03,-3.321451E+00,+1.074204E+00
+2.728950E+00,+24.039E-03,-3.321451E+00,+1.074204E+00
+2.730400E+00,+23.939E-03,-3.316426E+00,+1.074204E+00
+2.731850E+00,+23.897E-03,-3.316426E+00,+1.074204E+00
+2.733300E+00,+23.883E-03,-3.311401E+00,+1.074204E+00
+2.734750E+00,+23.872E-03,-3.308247E+00,+1.074204E+00
+2.736200E+00,+23.836E-03,-3.306376E+00,+1.074204E+00
+2.737650E+00,+23.814E-03,-3.301350E+00,+1.074204E+00
+2.739100E+00,+23.766E-03,-3.296866E+00,+1.074204E+00
+2.740550E+00,+23.710E-03,-3.296325E+00,+1.074204E+00
+2.742000E+00,+23.648E-03,-3.291300E+00,+1.074204E+00
+2.743450E+00,+23.630E-03,-3.291300E+00,+1.074204E+00
+2.744900E+00,+23.584E-03,-3.286275E+00,+1.074204E+00
+2.746350E+00,+23.575E-03,-3.286275E+00,+1.074204E+00
+2.747800E+00,+23.562E-03,-3.281250E+00,+1.074204E+00
+2.749250E+00,+23.467E-03,-3.281250E+00,+1.074204E+00
+2.750700E+00,+23.421E-03,-3.276225E+00,+1.074204E+00
+2.752150E+00,+23.400E-03,-3.276225E+00,+1.074204E+00
+2.753600E+00,+23.365E-03,-3.271200E+00,+1.074204E+00
+2.755050E+00,+23.325E-03,-3.271200E+00,+1.074204E+00
+2.756500E+00,+23.337E-03,-3.266313E+00,+1.074204E+00
+2.757950E+00,+23.313E-03,-3.266175E+00,+1.074204E+00
+2.759400E+00,+23.223E-03,-3.262896E+00,+1.074204E+00
+2.760850E+00,+23.179E-03,-3.261149E+00,+1.074204E+00
+2.762300E+00,+23.177E-03,-3.259479E+00,+1.074204E+00
+2.763750E+00,+23.150E-03,-3.256124E+00,+1.074204E+00
+2.765200E+00,+23.135E-03,-3.256124E+00,+1.074204E+00
+2.766650E+00,+23.133E-03,-3.251099E+00,+1.074204E+00
+2.768100E+00,+23.085E-03,-3.251099E+00,+1.074204E+00
+2.769550E+00,+22.996E-03,-3.246074E+00,+1.074204E+00
+2.771000E+00,+22.950E-03,-3.246074E+00,+1.074204E+00
+2.772450E+00,+22.902E-03,-3.246074E+00,+1.074204E+00
